Runs_str,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,is_not_out,DNB
1,1,5,20.0,0,0,KKR,Bengaluru,2008-04-18,0,0
23,23,14,164.28,3,1,MI,Wankhede,2008-04-20,0,0
13,13,14,92.85,0,1,RR,Bengaluru,2008-04-26,0,0
12,12,7,171.42,2,0,CSK,Bengaluru,2008-04-28,0,0
1*,1,1,100.0,0,0,Daredevils,Delhi,2008-04-30,1,0
38,38,29,131.03,1,2,Chargers,Bengaluru,2008-05-03,0,0
34,34,36,94.44,5,0,Kings XI,Bengaluru,2008-05-05,0,0
DNB,0,0,0.0,0,0,KKR,Eden Gardens,2008-05-08,0,1
21,21,22,95.45,4,0,Kings XI,Mohali,2008-05-12,0,0
3,3,7,42.85,0,0,RR,Jaipur,2008-05-17,0,0
10,10,16,62.5,1,0,CSK,Chennai,2008-05-21,0,0
9,9,5,180.0,2,0,Chargers,Hyderabad,2008-05-25,0,0
0,0,1,0.0,0,0,MI,Bengaluru,2008-05-28,0,0
3,3,8,37.5,0,0,RR,Cape Town,2009-04-18,0,0
11,11,13,84.61,0,1,CSK,Gqeberha,2009-04-20,0,0
50,50,32,156.25,7,0,Chargers,Cape Town,2009-04-22,0,0
2,2,3,66.66,0,0,Kings XI,Durban,2009-04-24,0,0
22,22,24,91.66,1,0,Daredevils,Gqeberha,2009-04-26,0,0
19,19,12,158.33,1,1,KKR,Durban,2009-04-29,0,0
16,16,14,114.28,2,0,Kings XI,Durban,2009-05-01,0,0
DNB,0,0,0.0,0,0,MI,Johannesburg,2009-05-03,0,1
15,15,22,68.18,1,0,RR,Centurion,2009-05-07,0,0
20,20,22,90.9,4,0,MI,Gqeberha,2009-05-10,0,0
DNB,0,0,0.0,0,0,KKR,Centurion,2009-05-12,0,1
38,38,35,108.57,4,2,CSK,Durban,2009-05-14,0,0
DNB,0,0,0.0,0,0,Daredevils,Johannesburg,2009-05-19,0,1
19*,19,9,211.11,0,2,Chargers,Centurion,2009-05-21,1,0
24*,24,17,141.17,1,2,CSK,Johannesburg,2009-05-23,1,0
7,7,8,87.5,1,0,Chargers,Johannesburg,2009-05-24,0,0
2,2,5,40.0,0,0,KKR,Eden Gardens,2010-03-14,0,0
16*,16,12,133.33,1,1,Kings XI,Bengaluru,2010-03-16,1,0
DNB,0,0,0.0,0,0,RR,Bengaluru,2010-03-18,0,1
17,17,12,141.66,0,2,MI,Brabourne,2010-03-20,0,0
24,24,16,150.0,2,1,CSK,Bengaluru,2010-03-23,0,0
38*,38,23,165.21,4,1,Daredevils,Bengaluru,2010-03-25,1,0
34,34,24,141.66,3,1,CSK,Chennai,2010-03-31,0,0
42,42,26,161.53,4,1,Kings XI,Mohali,2010-04-02,0,0
13,13,11,118.18,1,0,Daredevils,Delhi,2010-04-04,0,0
58,58,35,165.71,4,4,Chargers,Bengaluru,2010-04-08,0,0
DNB,0,0,0.0,0,0,KKR,Bengaluru,2010-04-10,0,1
3,3,4,75.0,0,0,Chargers,Nagpur,2010-04-12,0,0
14,14,13,107.69,2,0,RR,Jaipur,2010-04-14,0,0
37,37,24,154.16,4,1,MI,Bengaluru,2010-04-17,0,0
9,9,7,128.57,1,0,MI,DY Patil,2010-04-21,0,0
DNB,0,0,0.0,0,0,Chargers,DY Patil,2010-04-24,0,1
23,23,18,127.77,4,0,Kochi,Kochi,2011-04-09,0,0
12,12,19,63.15,2,0,MI,Bengaluru,2011-04-12,0,0
71,71,51,139.21,5,3,Chargers,Hyderabad,2011-04-14,0,0
35,35,28,125.0,4,1,CSK,Chennai,2011-04-16,0,0
30*,30,23,130.43,3,1,KKR,Eden Gardens,2011-04-22,1,0
56,56,38,147.36,8,2,Daredevils,Delhi,2011-04-26,0,0
67,67,42,159.52,4,4,Warriors,Bengaluru,2011-04-29,0,0
27,27,31,87.09,4,0,Kings XI,Bengaluru,2011-05-06,0,0
27*,27,33,81.81,3,0,Kochi,Bengaluru,2011-05-08,1,0
39*,39,34,114.7,3,1,RR,Jaipur,2011-05-11,1,0
15,15,15,100.0,2,0,KKR,Bengaluru,2011-05-14,0,0
11,11,11,100.0,2,0,Kings XI,Dharamsala,2011-05-17,0,0
31,31,29,106.89,5,0,CSK,Bengaluru,2011-05-22,0,0
70*,70,44,159.09,5,3,CSK,Wankhede,2011-05-24,1,0
8,8,12,66.66,0,0,MI,Chennai,2011-05-27,0,0
35,35,32,109.37,1,1,CSK,Chennai,2011-05-28,0,0
8,8,8,100.0,1,0,Daredevils,Bengaluru,2012-04-07,0,0
6,6,14,42.85,1,0,KKR,Bengaluru,2012-04-10,0,0
57,57,46,123.91,5,2,CSK,Chennai,2012-04-12,0,0
22,22,18,122.22,2,0,RR,Bengaluru,2012-04-15,0,0
16,16,19,84.21,1,0,Warriors,Bengaluru,2012-04-17,0,0
4,4,4,100.0,1,0,Kings XI,Mohali,2012-04-20,0,0
16,16,16,100.0,2,0,RR,Jaipur,2012-04-23,0,0
TDNB,0,0,0.0,0,0,CSK,Bengaluru,2012-04-25,0,1
18,18,19,94.73,3,0,KKR,Eden Gardens,2012-04-28,0,0
45,45,42,107.14,3,2,Kings XI,Bengaluru,2012-05-02,0,0
9,9,9,100.0,1,0,Chargers,Bengaluru,2012-05-06,0,0
36*,36,25,144.0,1,2,MI,Wankhede,2012-05-09,1,0
9,9,12,75.0,1,0,Warriors,Pune,2012-05-11,0,0
3,3,1,300.0,0,0,MI,Bengaluru,2012-05-14,0,0
73*,73,53,137.73,9,1,Daredevils,Delhi,2012-05-17,1,0
42,42,40,105.0,2,2,Chargers,Hyderabad,2012-05-20,0,0
24,24,14,171.42,4,1,MI,Bengaluru,2013-04-04,0,0
46,46,44,104.54,5,1,SRH,Hyderabad,2013-04-07,0,0
93*,93,47,197.87,11,4,SRH,Bengaluru,2013-04-09,1,0
35,35,27,129.62,4,2,KKR,Bengaluru,2013-04-11,0,0
58,58,47,123.4,2,2,CSK,Chennai,2013-04-13,0,0
65,65,50,130.0,7,1,Daredevils,Bengaluru,2013-04-16,0,0
1,1,4,25.0,0,0,RR,Bengaluru,2013-04-20,0,0
11,11,9,122.22,0,1,Warriors,Bengaluru,2013-04-23,0,0
1,1,4,25.0,0,0,MI,Wankhede,2013-04-27,0,0
32,32,35,91.42,3,0,RR,Jaipur,2013-04-29,0,0
25,25,18,138.88,3,0,Warriors,Pune,2013-05-02,0,0
14,14,14,100.0,1,0,Kings XI,Mohali,2013-05-06,0,0
99,99,58,170.68,10,4,Daredevils,Delhi,2013-05-10,0,0
17,17,14,121.42,2,0,KKR,Ranchi,2013-05-12,0,0
57,57,43,132.55,6,2,Kings XI,Bengaluru,2013-05-14,0,0
56*,56,29,193.1,6,4,CSK,Bengaluru,2013-05-18,1,0
49*,49,38,128.94,2,3,Daredevils,Sharjah,2014-04-17,1,0
0,0,2,0.0,0,0,MI,Dubai (DICS),2014-04-19,0,0
31,31,23,134.78,4,0,KKR,Sharjah,2014-04-24,0,0
21,21,25,84.0,3,0,RR,Abu Dhabi,2014-04-26,0,0
4,4,2,200.0,1,0,Kings XI,Dubai (DICS),2014-04-28,0,0
0,0,5,0.0,0,0,SRH,Bengaluru,2014-05-04,0,0
35,35,28,125.0,2,2,MI,Wankhede,2014-05-06,0,0
0,0,1,0.0,0,0,Kings XI,Bengaluru,2014-05-09,0,0
4,4,9,44.44,1,0,RR,Bengaluru,2014-05-11,0,0
10,10,11,90.9,0,0,Daredevils,Bengaluru,2014-05-13,0,0
27,27,29,93.1,1,1,CSK,Ranchi,2014-05-18,0,0
67,67,41,163.41,4,4,SRH,Hyderabad,2014-05-20,0,0
38,38,31,122.58,3,1,KKR,Eden Gardens,2014-05-22,0,0
73,73,49,148.97,2,5,CSK,Bengaluru,2014-05-24,0,0
13,13,15,86.66,0,1,KKR,Eden Gardens,2015-04-11,0,0
41,41,37,110.81,4,2,SRH,Bengaluru,2015-04-13,0,0
18,18,18,100.0,1,1,MI,Bengaluru,2015-04-19,0,0
51,51,42,121.42,4,2,CSK,Bengaluru,2015-04-22,0,0
62*,62,46,134.78,1,3,RR,Ahmedabad,2015-04-24,1,0
35*,35,23,152.17,6,0,Daredevils,Delhi,2015-04-26,1,0
1,1,4,25.0,0,0,RR,Bengaluru,2015-04-29,0,0
34,34,20,170.0,2,3,KKR,Bengaluru,2015-05-02,0,0
48,48,44,109.09,2,1,CSK,Chennai,2015-05-04,0,0
32,32,30,106.66,3,1,Kings XI,Bengaluru,2015-05-06,0,0
82*,82,50,164.0,6,4,MI,Wankhede,2015-05-10,1,0
19,19,9,211.11,2,1,Kings XI,Mohali,2015-05-13,0,0
44*,44,19,231.57,3,3,SRH,Hyderabad,2015-05-15,1,0
1*,1,2,50.0,0,0,Daredevils,Bengaluru,2015-05-17,1,0
12,12,18,66.66,0,0,RR,Pune,2015-05-20,0,0
12,12,9,133.33,1,1,CSK,Ranchi,2015-05-22,0,0
75,75,51,147.05,7,3,SRH,Bengaluru,2016-04-12,0,0
79,79,48,164.58,7,3,Daredevils,Bengaluru,2016-04-17,0,0
33,33,30,110.0,3,0,MI,Wankhede,2016-04-20,0,0
80,80,63,126.98,7,2,Supergiants,Pune,2016-04-22,0,0
100*,100,63,158.73,11,1,Guj Lions,Rajkot,2016-04-24,1,0
14,14,17,82.35,1,0,SRH,Hyderabad,2016-04-30,0,0
52,52,44,118.18,4,0,KKR,Bengaluru,2016-05-02,0,0
108*,108,58,186.2,8,7,Supergiants,Bengaluru,2016-05-07,1,0
20,20,21,95.23,2,0,Kings XI,Mohali,2016-05-09,0,0
7,7,7,100.0,0,1,MI,Bengaluru,2016-05-11,0,0
109,109,55,198.18,5,8,Guj Lions,Bengaluru,2016-05-14,0,0
75*,75,51,147.05,5,3,KKR,Eden Gardens,2016-05-16,1,0
113,113,50,226.0,12,8,Kings XI,Bengaluru,2016-05-18,0,0
54*,54,45,120.0,6,0,Daredevils,Raipur,2016-05-22,1,0
0,0,2,0.0,0,0,Guj Lions,Bengaluru,2016-05-24,0,0
54,54,35,154.28,5,2,SRH,Bengaluru,2016-05-29,0,0
62,62,47,131.91,5,2,MI,Bengaluru,2017-04-14,0,0
28,28,19,147.36,3,1,Supergiant,Bengaluru,2017-04-16,0,0
64,64,50,128.0,7,1,Guj Lions,Rajkot,2017-04-18,0,0
0,0,1,0.0,0,0,KKR,Eden Gardens,2017-04-23,0,0
10,10,13,76.92,0,1,Guj Lions,Bengaluru,2017-04-27,0,0
55,55,48,114.58,4,1,Supergiant,Pune,2017-04-29,0,0
20,20,14,142.85,0,2,MI,Wankhede,2017-05-01,0,0
6,6,6,100.0,1,0,Kings XI,Bengaluru,2017-05-05,0,0
5,5,9,55.55,0,0,KKR,Bengaluru,2017-05-07,0,0
58,58,45,128.88,3,3,Daredevils,Delhi,2017-05-14,0,0
31,31,33,93.93,1,1,KKR,Eden Gardens,2018-04-08,0,0
21,21,16,131.25,4,0,Kings XI,Bengaluru,2018-04-13,0,0
57,57,30,190.0,7,2,RR,Bengaluru,2018-04-15,0,0
92*,92,62,148.38,7,4,MI,Wankhede,2018-04-17,1,0
30,30,26,115.38,2,1,Daredevils,Bengaluru,2018-04-21,0,0
18,18,15,120.0,3,0,CSK,Bengaluru,2018-04-25,0,0
68*,68,44,154.54,5,3,KKR,Bengaluru,2018-04-29,1,0
32,32,26,123.07,2,1,MI,Bengaluru,2018-05-01,0,0
8,8,11,72.72,1,0,CSK,Pune,2018-05-05,0,0
39,39,30,130.0,5,1,SRH,Hyderabad,2018-05-07,0,0
70,70,40,175.0,7,3,Daredevils,Delhi,2018-05-12,0,0
48*,48,28,171.42,6,2,Kings XI,Indore,2018-05-14,1,0
12,12,11,109.09,2,0,SRH,Bengaluru,2018-05-17,0,0
4,4,9,44.44,0,0,RR,Jaipur,2018-05-19,0,0
6,6,12,50.0,0,0,CSK,Chennai,2019-03-23,0,0
46,46,32,143.75,6,0,MI,Bengaluru,2019-03-28,0,0
3,3,10,30.0,0,0,SRH,Hyderabad,2019-03-31,0,0
23,23,25,92.0,3,0,RR,Jaipur,2019-04-02,0,0
84,84,49,171.42,9,2,KKR,Bengaluru,2019-04-05,0,0
41,41,33,124.24,1,2,DC,Bengaluru,2019-04-07,0,0
67,67,53,126.41,8,0,Kings XI,Mohali,2019-04-13,0,0
8,8,9,88.88,1,0,MI,Wankhede,2019-04-15,0,0
100,100,58,172.41,9,4,KKR,Eden Gardens,2019-04-19,0,0
9,9,8,112.5,2,0,CSK,Bengaluru,2019-04-21,0,0
13,13,8,162.5,2,0,Kings XI,Bengaluru,2019-04-24,0,0
23,23,17,135.29,2,1,DC,Delhi,2019-04-28,0,0
25,25,7,357.14,1,3,RR,Bengaluru,2019-04-30,0,0
16,16,7,228.57,2,1,SRH,Bengaluru,2019-05-04,0,0
14,14,13,107.69,0,0,SRH,Dubai (DICS),2020-09-21,0,0
1,1,5,20.0,0,0,Kings XI,Dubai (DICS),2020-09-24,0,0
3,3,11,27.27,0,0,MI,Dubai (DICS),2020-09-28,0,0
72*,72,53,135.84,7,2,RR,Abu Dhabi,2020-10-03,1,0
43,43,39,110.25,2,1,DC,Dubai (DICS),2020-10-05,0,0
90*,90,52,173.07,4,4,CSK,Dubai (DICS),2020-10-10,1,0
33*,33,28,117.85,1,0,KKR,Sharjah,2020-10-12,1,0
48,48,39,123.07,3,0,Kings XI,Sharjah,2020-10-15,0,0
43,43,32,134.37,1,2,RR,Dubai (DICS),2020-10-17,0,0
18*,18,17,105.88,2,0,KKR,Abu Dhabi,2020-10-21,1,0
50,50,43,116.27,1,1,CSK,Dubai (DICS),2020-10-25,0,0
9,9,14,64.28,0,0,MI,Abu Dhabi,2020-10-28,0,0
7,7,7,100.0,0,0,SRH,Sharjah,2020-10-31,0,0
29,29,24,120.83,2,1,DC,Abu Dhabi,2020-11-02,0,0
6,6,7,85.71,0,0,SRH,Abu Dhabi,2020-11-06,0,0
33,33,29,113.79,4,0,MI,Chennai,2021-04-09,0,0
33,33,29,113.79,4,0,SRH,Chennai,2021-04-14,0,0
5,5,6,83.33,1,0,KKR,Chennai,2021-04-18,0,0
72*,72,47,153.19,6,3,RR,Wankhede,2021-04-22,1,0
8,8,7,114.28,1,0,CSK,Wankhede,2021-04-25,0,0
12,12,11,109.09,2,0,DC,Ahmedabad,2021-04-27,0,0
35,35,34,102.94,3,1,Punjab Kings,Ahmedabad,2021-04-30,0,0
5,5,4,125.0,1,0,KKR,Abu Dhabi,2021-09-20,0,0
53,53,41,129.26,6,1,CSK,Sharjah,2021-09-24,0,0
51,51,42,121.42,3,3,MI,Dubai (DICS),2021-09-26,0,0
25,25,20,125.0,4,0,RR,Dubai (DICS),2021-09-29,0,0
25,25,24,104.16,2,1,Punjab Kings,Sharjah,2021-10-03,0,0
5,5,4,125.0,1,0,SRH,Abu Dhabi,2021-10-06,0,0
4,4,8,50.0,0,0,DC,Dubai (DICS),2021-10-08,0,0
39,39,33,118.18,5,0,KKR,Sharjah,2021-10-11,0,0
41*,41,29,141.37,1,2,Punjab Kings,DY Patil,2022-03-27,1,0
12,12,7,171.42,2,0,KKR,DY Patil,2022-03-30,0,0
5,5,6,83.33,0,0,RR,Wankhede,2022-04-05,0,0
48,48,36,133.33,5,0,MI,Pune,2022-04-09,0,0
1,1,3,33.33,0,0,CSK,DY Patil,2022-04-12,0,0
12,12,14,85.71,1,0,DC,Wankhede,2022-04-16,0,0
0,0,1,0.0,0,0,LSG,DY Patil,2022-04-19,0,0
0,0,1,0.0,0,0,SRH,Brabourne,2022-04-23,0,0
9,9,10,90.0,2,0,RR,Pune,2022-04-26,0,0
58,58,53,109.43,6,1,GT,Brabourne,2022-04-30,0,0
30,30,33,90.9,3,1,CSK,Pune,2022-05-04,0,0
0,0,1,0.0,0,0,SRH,Wankhede,2022-05-08,0,0
20,20,14,142.85,2,1,Punjab Kings,Brabourne,2022-05-13,0,0
73,73,54,135.18,8,2,GT,Wankhede,2022-05-19,0,0
25,25,24,104.16,2,0,LSG,Eden Gardens,2022-05-25,0,0
7,7,8,87.5,0,1,RR,Ahmedabad,2022-05-27,0,0
82*,82,49,167.34,6,5,MI,Bengaluru,2023-04-02,1,0
21,21,18,116.66,3,0,KKR,Eden Gardens,2023-04-06,0,0
61,61,44,138.63,4,4,LSG,Bengaluru,2023-04-10,0,0
50,50,34,147.05,6,1,DC,Bengaluru,2023-04-15,0,0
6,6,4,150.0,1,0,CSK,Bengaluru,2023-04-17,0,0
59,59,47,125.53,5,1,Punjab Kings,Mohali,2023-04-20,0,0
0,0,1,0.0,0,0,RR,Bengaluru,2023-04-23,0,0
54,54,37,145.94,6,0,KKR,Bengaluru,2023-04-26,0,0
31,31,30,103.33,3,0,LSG,Lucknow,2023-05-01,0,0
55,55,46,119.56,5,0,DC,Delhi,2023-05-06,0,0
1,1,4,25.0,0,0,MI,Wankhede,2023-05-09,0,0
18,18,19,94.73,1,0,RR,Jaipur,2023-05-14,0,0
100,100,63,158.73,12,4,SRH,Hyderabad,2023-05-18,0,0
101*,101,61,165.57,13,1,GT,Bengaluru,2023-05-21,1,0
21,21,20,105.0,0,1,CSK,Chennai,2024-03-22,0,0
77,77,49,157.14,11,2,Punjab Kings,Bengaluru,2024-03-25,0,0
83*,83,59,140.67,4,4,KKR,Bengaluru,2024-03-29,1,0
22,22,16,137.5,2,1,LSG,Bengaluru,2024-04-02,0,0
113*,113,72,156.94,12,4,RR,Jaipur,2024-04-06,1,0
3,3,9,33.33,0,0,MI,Wankhede,2024-04-11,0,0
42,42,20,210.0,6,2,SRH,Bengaluru,2024-04-15,0,0
18,18,7,257.14,1,2,KKR,Eden Gardens,2024-04-21,0,0
51,51,43,118.6,4,1,SRH,Hyderabad,2024-04-25,0,0
70*,70,44,159.09,6,3,GT,Ahmedabad,2024-04-28,1,0
42,42,27,155.55,2,4,GT,Bengaluru,2024-05-04,0,0
92,92,47,195.74,7,6,Punjab Kings,Dharamsala,2024-05-09,0,0
27,27,13,207.69,1,3,DC,Bengaluru,2024-05-12,0,0
47,47,29,162.06,3,4,CSK,Bengaluru,2024-05-18,0,0
33,33,24,137.5,3,1,RR,Ahmedabad,2024-05-22,0,0
59*,59,36,163.88,4,3,KKR,Eden Gardens,2025-03-22,1,0
31,31,30,103.33,2,1,CSK,Chennai,2025-03-28,0,0
7,7,6,116.66,1,0,GT,Bengaluru,2025-04-02,0,0
